account,flag,Amount_of_sent,Amount_of_received,Total_ETH_sent,Total_ETH_received,Max_ETH_sent,Min_ETH_sent,Avg_ETH_sent,Max_ETH_received,Min_ETH_received,Avg_ETH_received,Total_tokentransfer_sent,Total_tokentransfer_received,Gas_from_ac,Gas_to_ac,Gas_fee_paid,Avg_day_sent,Avg_day_received,Avg_time_sent,Avg_time_received,Unique_sent,Unique_received,Unique_sent_token,Unique_received_token
a17249,0,0,1,0,3.6286E+16,0,0,0,3.6286E+16,3.6286E+16,3.6286E+16,0,0,0,150000,0,0,0,0,0,0,1,0,0
a03683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a22146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a26056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a13971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a25712,1,1,3,1.28561E+20,1.28563E+20,1.28561E+20,1.28561E+20,1.28561E+20,1.27163E+20,1E+14,4.28543E+19,0,0,21000,63000,1.848E+15,44032.66978,14677.55659,0,0.018649691,1,3,0,0
a00325,0,0,5,0,0,0,0,0,0,0,0,0,5,0,750000,0,0,0,0,22.59961574,0,1,0,1
a25941,0,0,768,0,1.33762E+20,0,0,0,1.5E+19,0,1.7417E+17,0,730,0,43644467,0,0,0,0,0.002999358,0,613,0,605
a09111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a04235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a24461,0,1,0,0,0,0,0,0,0,0,0,1,0,60000,0,3.66E+14,43957.09009,0,0,0,1,0,1,0
a23650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a22397,0,1,0,0,0,0,0,0,0,0,0,1,0,66545,0,7.9854E+14,43957.33936,0,0,0,1,0,1,0
a25833,0,1,1,9.8475E+16,9.9E+16,9.8475E+16,9.8475E+16,9.8475E+16,9.9E+16,9.9E+16,9.9E+16,0,0,21000,100000,5.25E+14,44015.95829,44015.95829,0,0,1,1,0,0
a14681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a19111,0,1,0,5.42301E+15,0,5.42301E+15,5.42301E+15,5.42301E+15,0,0,0,0,0,21000,0,8.4E+13,43956.85353,0,0,0,1,0,0,0
a16250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a09244,1,2,33,4.23729E+17,4.30764E+17,3.45904E+17,7.78256E+16,2.11865E+17,4.9055E+16,3.66603E+15,1.30535E+16,0,0,42000,693000,7.035E+15,44052.96543,2669.876693,2.771284722,0.203101501,2,33,0,0
a06238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a25873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a08218,0,1,0,4.45371E+13,0,4.45371E+13,4.45371E+13,4.45371E+13,0,0,0,0,0,21000,0,2.12754E+14,43956.98186,0,0,0,1,0,0,0
a15131,0,2,1,4.75604E+17,4.76E+17,3.80404E+17,9.52E+16,2.37802E+17,4.76E+17,4.76E+17,4.76E+17,0,0,42000,21000,3.96312E+14,43957.67979,87915.35958,0,0,2,1,0,0
a04079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a18367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a30702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
